name,acc_train,acc_test
Support Vector Machines,0.9994505494505495,0.9835255354200988
Linear SVC,0.9994505494505495,0.9818780889621087
XGB Classifier,0.9829670329670329,0.9481054365733114
Bagging Classifier,0.9791208791208791,0.943163097199341
Random Forest Classifier,0.9664835164835165,0.942339373970346
Mean values,0.0,0.0
Max values,0.0,0.0
